dish_id,cross_id,genotype,date_fertilized,date_created,initial_count,check_date,fish_deaths,cumulative_deaths,remaining,survival_rate,days_since_fertilization,status,termination_date,termination_reason,responsible,in_beaker,room,water_changed,vol_water_changed
14781_1,14781,Casper_HHMI,20250122,20250212,22,20250212,0,11,11,50.0,21,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14781_2,14781,Casper_HHMI,20250122,20250212,90,20250212,0,44,46,51.11111111111111,21,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,2E.282,No,0
14781_2,14781,Casper_HHMI,20250122,20250212,90,20250212,36,80,10,11.11111111111111,21,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,60
14781_3,14781,Casper_HHMI,20250122,20250218,80,20250218,0,68,12,15.0,27,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,2E.282,No,0
14781_4,14781,Casper_HHMI,20250122,20250218,105,20250218,0,93,12,11.428571428571429,27,inactive,20250205.0,euthanasia,Jeremy Delahanty,Yes,2E.282,No,0
14781_5,14781,Casper_HHMI,20250122,20250218,160,20250218,0,102,58,36.25,27,inactive,20250205.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_10,14783,Casper_HHMI,20250121,20250218,21,20250218,0,9,12,57.14285714285714,28,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_1,14783,Casper_HHMI,20250121,20250218,13,20250218,0,6,7,53.84615384615385,28,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_2,14783,Casper_HHMI,20250121,20250218,20,20250218,0,7,13,65.0,28,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_3,14783,Casper_HHMI,20250121,20250218,23,20250218,0,12,11,47.82608695652174,28,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_4,14783,Casper_HHMI,20250121,20250218,45,20250218,0,30,15,33.33333333333333,28,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_5,14783,Casper_HHMI,20250121,20250218,20,20250218,0,9,11,55.00000000000001,28,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_6,14783,Casper_HHMI,20250121,20250218,20,20250218,0,17,3,15.0,28,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_7,14783,Casper_HHMI,20250121,20250218,60,20250218,0,7,53,88.33333333333333,28,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_8,14783,Casper_HHMI,20250121,20250218,60,20250218,0,55,5,8.333333333333332,28,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_9,14783,Casper_HHMI,20250121,20250218,20,20250218,0,7,13,65.0,28,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14841_10,14841,Casper_HHMI,20250129,20250224,20,20250224,0,11,9,45.0,26,inactive,20250211.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14841_11,14841,Casper_HHMI,20250129,20250224,21,20250224,0,9,12,57.14285714285714,26,inactive,20250211.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14841_12,14841,Casper_HHMI,20250129,20250224,141,20250224,0,141,0,0.0,26,inactive,20250211.0,euthanasia,Jeremy Delahanty,Yes,2E.282,No,0
14841_13,14841,Casper_HHMI,20250129,20250224,89,20250224,0,78,11,12.359550561797752,26,inactive,20250211.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14841_14,14841,Casper_HHMI,20250129,20250224,20,20250224,0,11,9,45.0,26,inactive,20250211.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14841_15,14841,Casper_HHMI,20250129,20250224,20,20250224,0,17,3,15.0,26,inactive,20250211.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14841_16,14841,Casper_HHMI,20250129,20250224,20,20250224,0,6,14,70.0,26,inactive,20250211.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14841_9,14841,Casper_HHMI,20250129,20250224,36,20250224,0,23,13,36.11111111111111,26,inactive,20250224.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14841_1,14841,Casper_HHMI,20250129,20250219,96,20250219,0,102,-6,-6.25,21,inactive,20250211.0,euthanasia,Jeremy Delahanty,Yes,2E.282,No,0
14841_2,14841,Casper_HHMI,20250129,20250224,96,20250224,0,113,-17,-17.708333333333336,26,inactive,20250224.0,euthanasia,Jeremy Delahanty,Yes,2E.282,No,0
14841_3,14841,Casper_HHMI,20250129,20250224,20,20250224,0,10,10,50.0,26,inactive,20250211.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14841_4,14841,Casper_HHMI,20250129,20250224,26,20250224,0,11,15,57.692307692307686,26,inactive,20250211.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14841_7,14841,Casper_HHMI,20250129,20250224,20,20250224,0,8,12,60.0,26,inactive,20250211.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14841_8,14841,Casper_HHMI,20250129,20250224,26,20250224,0,8,18,69.23076923076923,26,inactive,20250211.0,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14841_3,14841,Casper_HHMI,20250129,20250224,20,20250224,0,0,20,100.0,26,active,,,Jeremy Delahanty,No,2E.282,No,0
15016_4,15016,Casper_HHMI,19250226,20250310,30,20250310,0,0,30,100.0,36537,active,,,Jeremy Delahanty,No,2E.282,No,0
